               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10883,            0.018314,            0.075292,           0.0069126,                0.42,           0.0061569,           0.0013225,            0.077784,            0.013568,            0.058878,              0.0919,              0.0009,              0.0009
                   1,            0.090633,            0.024414,            0.064305,           0.0089101,             0.74667,           0.0084639,           0.0019497,            0.062049,            0.015952,            0.050328,            0.082896,           0.0018962,           0.0018962
                   2,            0.078253,             0.02694,            0.051249,           0.0061324,             0.73333,           0.0071247,           0.0015123,            0.058695,             0.01495,            0.038573,            0.073889,           0.0028885,           0.0028885
                   3,            0.073298,            0.024722,            0.039438,           0.0062371,                0.78,           0.0067121,           0.0015352,            0.055902,             0.01441,            0.033563,            0.064877,           0.0038768,           0.0038768
                   4,            0.072159,             0.01998,            0.032444,           0.0070077,                 0.8,           0.0073293,           0.0020538,            0.069977,            0.014844,            0.028057,            0.055861,           0.0048612,           0.0048612
                   5,            0.072255,            0.017589,            0.027707,           0.0073675,             0.94667,           0.0087349,           0.0021371,             0.06866,            0.013255,            0.021771,            0.046842,           0.0058416,           0.0058416
                   6,             0.07266,            0.017248,            0.022774,           0.0074876,             0.85333,            0.010997,           0.0033795,            0.062885,            0.011392,            0.014582,            0.037818,            0.006818,            0.006818
                   7,            0.069396,            0.017384,            0.018868,           0.0072644,             0.80667,           0.0086468,           0.0021238,            0.056937,             0.01098,            0.012662,            0.028791,           0.0077905,           0.0077905
                   8,            0.071808,            0.016504,            0.015475,           0.0071605,             0.82667,           0.0083814,           0.0020721,            0.073834,            0.010197,            0.016282,            0.019759,            0.008759,            0.008759
                   9,            0.077991,            0.014759,            0.013778,            0.006315,             0.86667,           0.0077228,           0.0014073,            0.060013,            0.010991,            0.013615,            0.010724,           0.0097236,           0.0097236
                  10,            0.068444,            0.015525,            0.011455,            0.011509,           0.0066667,           0.0068505,            0.001257,            0.064841,            0.010597,           0.0082224,            0.009802,            0.009802,            0.009802
                  11,            0.071657,            0.014855,            0.010689,           0.0076408,             0.90667,            0.011924,           0.0024843,            0.056579,            0.010176,           0.0060657,            0.009802,            0.009802,            0.009802
