epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.085,1.13158,4.28497,1.58185,0.34757,0.51075,0.46705,0.40324,0.6847,3.62233,1.049,0.000119,0.000119,0.000119
2,128.872,0.78456,1.98845,1.15691,0.96041,0.4452,0.7567,0.60681,0.69113,2.23651,1.05157,0.000242073,0.000242073,0.000242073
3,144.303,0.74164,1.47485,1.11364,0.9775,0.76006,0.96624,0.80763,0.67113,1.78522,1.03748,0.000364447,0.000364447,0.000364447
4,161.197,0.71623,1.35442,1.10237,0.95169,0.92485,0.97589,0.82188,0.63042,0.87102,1.04688,0.000471961,0.000471961,0.000471961
5,177.553,0.69425,1.24557,1.07028,0.71229,0.92999,0.97376,0.81284,0.62662,1.09111,1.04384,0.000470614,0.000470614,0.000470614
6,193.822,0.70736,1.21369,1.09512,0.93554,0.93519,0.97446,0.82701,0.61789,0.64111,1.04576,0.000469268,0.000469268,0.000469268
7,210.455,0.64982,1.0934,1.03816,0.95961,0.97022,0.99083,0.84284,0.61068,0.56764,1.00951,0.000467922,0.000467922,0.000467922
8,224.923,0.68472,1.06365,1.07072,0.94174,0.98026,0.98826,0.85555,0.56025,0.60086,0.97255,0.000466575,0.000466575,0.000466575
9,239.467,0.64762,0.99658,1.03064,0.96826,0.98103,0.99329,0.85995,0.56879,0.50715,0.9817,0.000465229,0.000465229,0.000465229
10,255.168,0.6377,0.93704,1.04333,0.98116,0.97192,0.99395,0.86147,0.56429,0.51898,1.00492,0.000463882,0.000463882,0.000463882
11,271.607,0.64803,0.91952,1.0417,0.96881,0.985,0.99058,0.84613,0.60865,0.52534,1.02763,0.000462536,0.000462536,0.000462536
12,287.887,0.63886,0.8838,1.03939,0.98044,0.98438,0.99162,0.85214,0.58755,0.46021,1.035,0.00046119,0.00046119,0.00046119
