,tracks,artists,bpm
0,Superfly,Curtis Mayfield,120.2
1,One Nation Under a Groove,Funkadelic,122.3
2,Flash Light,Parliament,
3,Higher Ground,Stevie Wonder,125.3
4,Dancing in the Moonlight,King Harvest,136.0
5,Papa Was A Rollin' Stone - Single Version,The Temptations,120.2
6,Super Freak,Rick James,132.51
7,Play That Funky Music,Wild Cherry,109.4
8,Linus And Lucy,Vince Guaraldi Trio,164.06
9,Birdland,Weather Report,156.6
10,Mood Indigo,Nina Simone,
11,Mood Indigo,Frank Sinatra,128.0
12,Strange Fruit,Billie Holiday,117.5
13,'Round Midnight,Thelonious Monk,
14,"Take the ""A"" Train",Duke Ellington,168.1
15,Take Five,The Dave Brubeck Quartet,172.3
16,The Girl From Ipanema,Stan Getz,129.6
17,Fly Me To The Moon,Frank Sinatra,119.2
18,Summertime,The Sundays,192.3
19,What A Wonderful World,Louis Armstrong,107.95
20,Girls Just Want to Have Fun,Cyndi Lauper,120.5
21,Bad Romance,Lady Gaga,118.8
22,Poker Face,Lady Gaga,126.0
23,Uptown Funk,Mark Ronson,114.8
24,Gangsta's Paradise,Coolio,159.63
25,SLOW DANCING IN THE DARK,Joji,
26,Billie Jean,Michael Jackson,117.1
27,Radio Ga Ga - Remastered 2011,Queen,112.3
28,Somebody To Love,Queen,109.38
29,Here Comes The Sun - Remastered 2009,The Beatles,128.4
30,A Day In The Life - Remastered 2009,The Beatles,154.85
31,A Day In The Life,The Beatles,154.85
32,Let It Be - Remastered 2009,The Beatles,137.81
33,Let It Be - Remastered 2015,The Beatles,138.27
34,Come Together - Remastered 2009,The Beatles,164.06
35,Hey Jude,The Beatles,147.66
36,Rock the Casbah - Remastered,The Clash,129.6
37,Reptilia,The Strokes,157.8
38,Pusherman,Curtis Mayfield,126.43
39,Strawberry Letter 23,The Brothers Johnson,90.9
40,Bennie And The Jets - Remastered 2014,Elton John,131.7
41,Under Pressure - Remastered 2011,Queen,113.6
42,Starman - 2012 Remaster,David Bowie,100.59
43,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,136.4
44,She's Not There,The Zombies,128.4
45,What's Going On,Marvin Gaye,
46,Alejandro,Lady Gaga,98.91
47,Just Kissed My Baby,The Meters,170.8
48,Word Up,Cameo,
49,Fire on the Bayou,The Meters,131.2
50,California Soul,Marlena Shaw,94.8
51,Inspiration Information,Shuggie Otis,179.8
52,As,Stevie Wonder,
53,Spooky,Dusty Springfield,212.0
54,Somethin' Stupid,Frank Sinatra,103.9
55,Sir Duke,Stevie Wonder,107.39
56,Everyday People,Sly & The Family Stone,114.5
57,Give Up The Funk (Tear The Roof Off The Sucker),Parliament,105.7
58,Green Onions,Booker T. & the M.G.'s,136.9
59,Land of 1000 Dances,Wilson Pickett,174.4
60,Fight The Power,Public Enemy,106.01
61,The Message,Grandmaster Flash,100.35
62,California Love,2Pac,182.94
63,"Shook Ones, Pt. II",Mobb Deep,93.8
64,Can I Kick It?,A Tribe Called Quest,
65,Hypnotize - 2007 Remaster,The Notorious B.I.G.,94.0
66,Not Like Us,Kendrick Lamar,
67,Mass Appeal,Gang Starr,95.9
68,50 Ways to Leave Your Lover,Paul Simon,101.8
69,A Horse with No Name,America,123.4
70,Kiss,Prince,111.44
71,Let's Dance - 2018 Remaster,David Bowie,113.89
72,Big Poppa - 2005 Remaster,The Notorious B.I.G.,84.55
73,Do For Love,2Pac,
74,Gangsta's Paradise,Coolio,159.63
75,Without Me,Eminem,112.3
76,Insane in the Brain,Cypress Hill,102.1
77,Jump Around,House Of Pain,106.83
78,Fight For Your Right,Beastie Boys,133.8
79,Intergalactic - Remastered 2009,Beastie Boys,
80,Waterfalls,TLC,86.0
81,Kill Bill,SZA,
