,attention-class,class-score,track-title,artist,text-reading,bpm,lyric-count
0,DISTRACTED,0.866439,Love is Heartbreak,Cousin Tony's Brand New Firebird,483,135.0,178.0
1,DISTRACTED,0.876667,Love is Heartbreak,Cousin Tony's Brand New Firebird,407,135.0,178.0
2,FOCUSED,0.975039,Love is Heartbreak,Cousin Tony's Brand New Firebird,107,135.0,178.0
3,FOCUSED,0.961814,Love is Heartbreak,Cousin Tony's Brand New Firebird,196,135.0,178.0
4,FOCUSED,0.962477,Love is Heartbreak,Cousin Tony's Brand New Firebird,195,135.0,178.0
5,FOCUSED,0.975081,Love is Heartbreak,Cousin Tony's Brand New Firebird,195,135.0,178.0
6,FOCUSED,0.860349,Love is Heartbreak,Cousin Tony's Brand New Firebird,194,135.0,178.0
7,DISTRACTED,0.955939,Thought We Were Falling In Love,Vona Vella,414,135.0,187.0
8,DISTRACTED,0.474543,Thought We Were Falling In Love,Vona Vella,467,135.0,187.0
9,DISTRACTED,0.95757,Garden of the Sun,ØZWALD,467,135.0,163.0
10,FOCUSED,0.370927,Garden of the Sun,ØZWALD,232,135.0,163.0
11,FOCUSED,0.942722,Garden of the Sun,ØZWALD,343,135.0,163.0
12,FOCUSED,0.942965,Garden of the Sun,ØZWALD,242,135.0,163.0
13,FOCUSED,0.932965,Garden of the Sun,ØZWALD,345,135.0,163.0
14,FOCUSED,0.558331,Garden of the Sun,ØZWALD,356,135.0,163.0
15,FOCUSED,0.259941,Garden of the Sun,ØZWALD,408,135.0,163.0
16,DISTRACTED,0.717845,Garden of the Sun,ØZWALD,264,135.0,163.0
17,DISTRACTED,0.894323,better.,Grand Lotus,439,135.0,275.0
18,DISTRACTED,0.44118,better.,Grand Lotus,420,135.0,275.0
19,DISTRACTED,0.821309,better.,Grand Lotus,322,135.0,275.0
20,FOCUSED,0.951277,better.,Grand Lotus,389,135.0,275.0
21,DISTRACTED,0.8997,better.,Grand Lotus,405,135.0,275.0
22,DISTRACTED,0.38133,better.,Grand Lotus,432,135.0,275.0
23,FOCUSED,0.969586,better.,Grand Lotus,383,135.0,275.0
24,DISTRACTED,0.445805,better.,Grand Lotus,135,135.0,275.0
25,FOCUSED,0.981195,I'LL DO ANYTHING,Comfort Royale,453,135.0,275.0
26,DISTRACTED,0.530287,I'LL DO ANYTHING,Comfort Royale,409,135.0,275.0
27,DISTRACTED,0.757748,I'LL DO ANYTHING,Comfort Royale,452,135.0,275.0
28,DISTRACTED,0.503542,I'LL DO ANYTHING,Comfort Royale,416,135.0,275.0
29,FOCUSED,0.927747,I'LL DO ANYTHING,Comfort Royale,366,135.0,275.0
30,DISTRACTED,0.436082,I'LL DO ANYTHING,Comfort Royale,453,135.0,275.0
31,FOCUSED,0.533562,I'LL DO ANYTHING,Comfort Royale,419,135.0,275.0
32,FOCUSED,0.259701,I'LL DO ANYTHING,Comfort Royale,451,135.0,275.0
33,FOCUSED,0.605617,I'LL DO ANYTHING,Comfort Royale,457,135.0,275.0
34,DISTRACTED,0.877776,Motels,Royel Otis,428,135.0,275.0
35,FOCUSED,0.902824,Motels,Royel Otis,410,135.0,275.0
36,FOCUSED,0.485894,Motels,Royel Otis,398,135.0,275.0
37,FOCUSED,0.606684,Hard Times for Heatherhead,Generationals,386,135.0,154.0
38,FOCUSED,0.357592,Mean Streets,Tennis,447,135.0,223.0
39,FOCUSED,0.861003,Mean Streets,Tennis,608,135.0,223.0
40,FOCUSED,0.897062,Mean Streets,Tennis,549,135.0,223.0
41,DISTRACTED,0.414277,Mean Streets,Tennis,525,135.0,223.0
42,FOCUSED,0.841351,Mean Streets,Tennis,294,135.0,223.0
43,FOCUSED,0.885529,Mean Streets,Tennis,294,135.0,223.0
44,DISTRACTED,0.639496,Mean Streets,Tennis,294,135.0,223.0
45,FOCUSED,0.265551,Mean Streets,Tennis,181,135.0,223.0
46,DISTRACTED,0.899355,Mean Streets,Tennis,299,135.0,223.0
47,DISTRACTED,0.916157,Mean Streets,Tennis,471,135.0,223.0
48,DISTRACTED,0.968766,How Many Times Have You Driven By,Hana Vu,393,135.0,89.0
49,FOCUSED,0.530444,How Many Times Have You Driven By,Hana Vu,474,135.0,89.0
50,DISTRACTED,0.274709,What Was Mine,Sarah Kinsley,433,135.0,241.0
51,DISTRACTED,0.940573,Slugger,SASAMI,536,135.0,442.0
52,DISTRACTED,0.830731,Slugger,SASAMI,445,135.0,442.0
53,FOCUSED,0.868342,Slugger,SASAMI,445,135.0,442.0
54,DISTRACTED,0.277065,Mystic,Evangeline,478,135.0,275.0
55,DISTRACTED,0.955612,Mystic,Evangeline,391,135.0,275.0
56,DISTRACTED,0.932118,Everyone Adores You (at least I do),Matt Maltese,363,135.0,111.0
57,DISTRACTED,0.784281,Everyone Adores You (at least I do),Matt Maltese,381,135.0,111.0
58,DISTRACTED,0.868009,Everyone Adores You (at least I do),Matt Maltese,476,135.0,111.0
59,DISTRACTED,0.755834,Witching Hour,TOPS,582,135.0,197.0
60,DISTRACTED,0.806448,Witching Hour,TOPS,600,135.0,197.0
61,FOCUSED,0.269209,Witching Hour,TOPS,632,135.0,197.0
62,DISTRACTED,0.843723,Witching Hour,TOPS,549,135.0,197.0
63,DISTRACTED,0.498956,Witching Hour,TOPS,434,135.0,197.0
64,DISTRACTED,0.41001,Witching Hour,TOPS,447,135.0,197.0
65,DISTRACTED,0.432538,Witching Hour,TOPS,522,135.0,197.0
66,DISTRACTED,0.322103,Witching Hour,TOPS,371,135.0,197.0
67,DISTRACTED,0.670264,The Hustle,Kiltro,201,135.0,270.0
68,DISTRACTED,0.634575,The Hustle,Kiltro,277,135.0,270.0
69,DISTRACTED,0.816568,The Hustle,Kiltro,84,135.0,270.0
70,DISTRACTED,0.953843,The Hustle,Kiltro,507,135.0,270.0
71,DISTRACTED,0.883105,The Hustle,Kiltro,442,135.0,270.0
72,DISTRACTED,0.929905,The Hustle,Kiltro,393,135.0,270.0
73,DISTRACTED,0.944486,The Hustle,Kiltro,359,135.0,270.0
74,DISTRACTED,0.419633,The Hustle,Kiltro,323,135.0,270.0
75,FOCUSED,0.816193,The Hustle,Kiltro,373,135.0,270.0
76,FOCUSED,0.933641,Baby Don't Believe,Tennis,331,159.01,321.0
77,FOCUSED,0.947787,Timothy,Tennis,318,149.3,269.0
78,FOCUSED,0.943466,Timothy,Tennis,58,149.3,269.0
79,FOCUSED,0.895656,Timothy,Tennis,306,149.3,269.0
80,FOCUSED,0.924569,Timothy,Tennis,387,149.3,269.0
81,FOCUSED,0.90862,The Bend,King Princess,296,135.0,312.0
82,FOCUSED,0.842219,The Bend,King Princess,282,135.0,312.0
83,FOCUSED,0.901311,The Bend,King Princess,387,135.0,312.0
84,FOCUSED,0.916148,What Was Mine,Sarah Kinsley,330,135.0,241.0
85,FOCUSED,0.926784,What Was Mine,Sarah Kinsley,203,135.0,241.0
86,FOCUSED,0.935768,What Was Mine,Sarah Kinsley,283,135.0,241.0
87,FOCUSED,0.946387,What Was Mine,Sarah Kinsley,289,135.0,241.0
88,DISTRACTED,0.30162,What Was Mine,Sarah Kinsley,307,135.0,241.0
89,FOCUSED,0.931356,What Was Mine,Sarah Kinsley,139,135.0,241.0
90,FOCUSED,0.871708,What Was Mine,Sarah Kinsley,179,135.0,241.0
91,FOCUSED,0.951188,What Was Mine,Sarah Kinsley,824,135.0,241.0
92,DISTRACTED,0.959181,What Was Mine,Sarah Kinsley,363,135.0,241.0
93,FOCUSED,0.919918,Smile For The Camera,Etta Marcus,307,135.0,172.0
94,DISTRACTED,0.917186,Smile For The Camera,Etta Marcus,92,135.0,172.0
95,DISTRACTED,0.918452,Smile For The Camera,Etta Marcus,407,135.0,172.0
96,DISTRACTED,0.945479,Smile For The Camera,Etta Marcus,86,135.0,172.0
97,DISTRACTED,0.952602,Smile For The Camera,Etta Marcus,374,135.0,172.0
98,FOCUSED,0.936977,Smile For The Camera,Etta Marcus,416,135.0,172.0
99,DISTRACTED,0.962066,Smile For The Camera,Etta Marcus,302,135.0,172.0
100,DISTRACTED,0.956821,Smile For The Camera,Etta Marcus,380,135.0,172.0
101,DISTRACTED,0.955377,Smile For The Camera,Etta Marcus,297,135.0,172.0
102,DISTRACTED,0.951018,Smile For The Camera,Etta Marcus,378,135.0,172.0
103,DISTRACTED,0.950424,Heels To The Moon,Gengahr,172,135.0,125.0
104,DISTRACTED,0.95502,Heels To The Moon,Gengahr,322,135.0,125.0
105,DISTRACTED,0.955712,I Know The End,Phoebe Bridgers,285,135.0,326.0
106,FOCUSED,0.4913,I Know The End,Phoebe Bridgers,433,135.0,326.0
107,DISTRACTED,0.958505,CooCool,"Róisín Murphy, DJ Koze",442,135.0,275.0
108,FOCUSED,0.941714,CooCool,"Róisín Murphy, DJ Koze",303,135.0,275.0
109,DISTRACTED,0.864037,CooCool,"Róisín Murphy, DJ Koze",180,135.0,275.0
110,FOCUSED,0.958923,CooCool,"Róisín Murphy, DJ Koze",239,135.0,275.0
111,FOCUSED,0.908417,CooCool,"Róisín Murphy, DJ Koze",52,135.0,275.0
112,FOCUSED,0.33487,CooCool,"Róisín Murphy, DJ Koze",126,135.0,275.0
113,DISTRACTED,0.952807,CooCool,"Róisín Murphy, DJ Koze",369,135.0,275.0
114,FOCUSED,0.895474,CooCool,"Róisín Murphy, DJ Koze",225,135.0,275.0
115,FOCUSED,0.734842,CooCool,"Róisín Murphy, DJ Koze",224,135.0,275.0
116,DISTRACTED,0.924558,CooCool,"Róisín Murphy, DJ Koze",348,135.0,275.0
117,DISTRACTED,0.963985,Life in a Bubble I Blew - bonus track,Joywave,405,130.01,275.0
118,DISTRACTED,0.967506,Life in a Bubble I Blew - bonus track,Joywave,270,130.01,275.0
119,DISTRACTED,0.967271,Life in a Bubble I Blew - bonus track,Joywave,373,130.01,275.0
120,DISTRACTED,0.956694,Life in a Bubble I Blew - bonus track,Joywave,400,130.01,275.0
121,FOCUSED,0.871829,Life in a Bubble I Blew - bonus track,Joywave,408,130.01,275.0
122,DISTRACTED,0.934649,Life in a Bubble I Blew - bonus track,Joywave,361,130.01,275.0
123,DISTRACTED,0.959169,Life in a Bubble I Blew - bonus track,Joywave,82,130.01,275.0
124,DISTRACTED,0.947784,Life in a Bubble I Blew - bonus track,Joywave,309,130.01,275.0
125,DISTRACTED,0.957932,Life in a Bubble I Blew - bonus track,Joywave,416,130.01,275.0
126,DISTRACTED,0.857762,Life in a Bubble I Blew - bonus track,Joywave,356,130.01,275.0
127,DISTRACTED,0.277354,Life in a Bubble I Blew - bonus track,Joywave,357,130.01,275.0
128,DISTRACTED,0.878915,This Is What They Meant,Biig Piig,232,135.0,256.0
129,FOCUSED,0.481193,This Is What They Meant,Biig Piig,424,135.0,256.0
130,DISTRACTED,0.956335,This Is What They Meant,Biig Piig,259,135.0,256.0
131,DISTRACTED,0.935236,This Is What They Meant,Biig Piig,208,135.0,256.0
132,FOCUSED,0.429342,This Is What They Meant,Biig Piig,191,135.0,256.0
133,DISTRACTED,0.96582,This Is What They Meant,Biig Piig,437,135.0,256.0
134,DISTRACTED,0.950552,This Is What They Meant,Biig Piig,112,135.0,256.0
135,DISTRACTED,0.908034,This Is What They Meant,Biig Piig,274,135.0,256.0
136,DISTRACTED,0.956745,This Is What They Meant,Biig Piig,449,135.0,256.0
137,FOCUSED,0.288105,Independent,Salt-N-Pepa,77,100.11,275.0
138,DISTRACTED,0.956332,Independent,Salt-N-Pepa,441,100.11,275.0
139,DISTRACTED,0.959518,Independent,Salt-N-Pepa,127,100.11,275.0
140,FOCUSED,0.910002,Independent,Salt-N-Pepa,276,100.11,275.0
141,DISTRACTED,0.919073,Independent,Salt-N-Pepa,211,100.11,275.0
142,DISTRACTED,0.912043,Independent,Salt-N-Pepa,164,100.11,275.0
143,DISTRACTED,0.868625,Independent,Salt-N-Pepa,329,100.11,275.0
144,FOCUSED,0.50839,Independent,Salt-N-Pepa,390,100.11,275.0
145,DISTRACTED,0.961579,Independent,Salt-N-Pepa,404,100.11,275.0
146,DISTRACTED,0.948668,Independent,Salt-N-Pepa,80,100.11,275.0
